Datatype,Frequency
http://purl.org/dc/elements/1.1/ISO639-2,436
http://dbpedia.org/datatype/millibar,2787
http://dbpedia.org/datatype/serbianDinar,1749
http://www.w3.org/2002/12/cal/tzd/Europe/Lisbon#tz,4
http://dbpedia.org/ontology/inhabitantsPerSquareMile,616
http://www.w3.org/2001/XMLSchema#gMonth,13467
http://dbpedia.org/ontology/ukrainianHryvnia,2
http://www.w3.org/2001/XMLSchema#gDate,321
http://dbpedia.org/datatype/microlitre,24
http://dbpedia.org/datatype/standardAtmosphere,1077
http://dbpedia.org/datatype/colombianPeso,176
http://dbpedia.org/datatype/megabyte,21296
http://dbpedia.org/resource/United_States_dollar,77290
http://www.openmobilealliance.org/tech/profiles/UAPROF/xmlschema-20030226#Boolean,560
http://dbpedia.org/datatype/kilometrePerHour,201004
http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral,303700
http://dbpedia.org/datatype/kilolitre,43
http://dbpedia.org/ontology/kelvin,154
http://www.w3.org/2001/XMLSchema#date,1312363800
http://dbpedia.org/datatype/dominicanPeso,299
http://www.w3.org/2001/XMLSchema#int,364614600
http://estatwrap.ontologycentral.com/dic/note#cep,26
http://dbpedia.org/datatype/cfpFranc,64
http://dbpedia.org/ontology/kilometrePerHour,112
http://dbpedia.org/datatype/cambodianRiel,132
http://dbpedia.org/datatype/kilowattHour,349
http://www.w3.org/2002/12/cal/tzd/Europe/Amsterdam#tz,4
http://dbpedia.org/datatype/cubicMile,28
http://purl.org/NET/cidoc-crm/core#PropertyNotation,411
http://dbpedia.org/units/Percent,1562
http://dbpedia.org/datatype/polishZ%c5%82oty,2982
http://dbpedia.org/units/Inches,371
http://dbpedia.org/ontology/tonne,39
http://dbpedia.org/ontology/valvetrain,3
http://location.data.gov.uk/def/ef/SamplingPoint/samplePointCode,2
http://dbpedia.org/datatype/cubicHectometre,1334
http://dbpedia.org/datatype/litre,47995
http://dbpedia.org/units/Centimeter,411
http://dbpedia.org/datatype/terawattHour,779
http://dbpedia.org/datatype/hour,22758
http://www.w3.org/2002/12/cal/tzd/Europe/Paris#tz,4
http://purl.org/dc/terms/DDC,976780
http://www.w3.org/2001/XMLSchema#NonNegativeInteger,37
http://dbpedia.org/ontology/imperialGallon,4
http://lodlaundromat.org/schema-terms/Notation,1
http://www.naa.gov.au/recordkeeping/gov_online/agls/1.2AGIFT,2
http://dbpedia.org/ontology/kilopascal,1
http://www.openlinksw.com/schemas/virtrdf#Geometry,193478
http://dbpedia.org/datatype/second,20260079
http://dbpedia.org/datatype/squareCentimetre,184
dbpedia:Joint_Chiefs_of_Staff,150
xsd:decimal,1
http://dbpedia.org/ontology/joule,1
http://dbpedia.org/datatype/tunisianDinar,130
http://dbpedia.org/datatype/turkishLira,205
http://statistics.data.gov.uk/def/administrative-geography//StandardCode,24003
http://sw.nokia.com/MARS-3/Rank,2
http://purl.org/dc/terms/RFC3066,29
http://dbpedia.org/ontology/gigametre,48
http://www.w3.org/2001/XMLSchema#nonNegativeInteger,60284441
http://id.southampton.ac.uk/ns/bus-stop-id-scheme,3902
http://environment.data.gov.uk/def/bathing-water/eubwid,2
http://dbpedia.org/datatype/tanzanianShilling,165
http://dbpedia.org/datatype/eritreanNakfa,12
http://dbpedia.org/datatype/brakeHorsepower,1826
http://dbpedia.org/datatype/bar,4560
xsd:hexBinary,6
http://dbpedia.org/datatype/bermudianDollar,403
http://dbpedia.org/datatype/slovakKoruna,2
http://dbpedia.org/datatype/kilohertz,23183
http://www.openmobilealliance.org/tech/profiles/UAPROF/xmlschema-20030226#ResolutionRule,417
http://dbpedia.org/datatype/arubanGuilder,26
http://purl.org/dc/terms/RFC4646,39
http://dbpedia.org/datatype/gram,110674
http://dbpedia.org/ontology/gram,401
http://dbpedia.org/ontology/poundPerSquareInch,4
http://dbpedia.org/datatype/macedonianDenar,12
http://www.w3.org/2001/XMLSchema#decimal,312309110
http://dbpedia.org/datatype/danishKrone,3431
http://dbpedia.org/datatype/philippinePeso,1919
http://www.w3.org/2001/XMLSchema#period,3
http://dbpedia.org/datatype/watt,14336
http://dbpedia.org/datatype/ukrainianHryvnia,592
http://dbpedia.org/datatype/ghanaianCedi,155
http://dbpedia.org/ontology/japaneseYen,39
http://dbpedia.org/ontology/acre,381
http://www.w3.org/TR/xmlschema-2#string,9
http://www.w3.org/2002/12/cal/tzd/America/New_York#tz,186
http://dbpedia.org/datatype/ethiopianBirr,692
http://purl.org/NET/cidoc-crm/core#EntityNotation,243
http://def.seegrid.csiro.au/isotc211/iso19150/-2/2012/basic#ISOClassName,99
http://id.southampton.ac.uk/ns/room-code-scheme,1809
dcterms:RFC4646,12
http://dbpedia.org/ontology/metrePerSecond,46
http://dbpedia.org/ontology/cubicFeetPerSecond,8
http://dbpedia.org/ontology/Rank,340
http://dbpedia.org/ontology/squareKilometre,1577
http://dbpedia.org/datatype/megapond,304
http://dbpedia.org/datatype/hongKongDollar,857
http://dbpedia.org/ontology/second,183
http://dbpedia.org/datatype/kilovolt,1661
http://dbpedia.org/datatype/malagasyAriary,25
http://dbpedia.org/datatype/newtonMetre,4658
http://dbpedia.org/datatype/yard,489
http://dbpedia.org/ontology/megabyte,15
xs:string,26870
